昵称,性别,地区,日期,评论,点赞
Weloving,保密,上海,2025-04-06 01:33:35,现在还有人我吃[doge],25
迎风-飞,保密,山西,2025-04-05 18:45:49,如果能更早些就好了  去年六月我还在大学  我可能会更开心[大哭],7
浅沐纸鸢_Kiten,保密,浙江,2025-04-05 12:27:32,太爽了老铁[星星眼][星星眼][星星眼],2
ksknsr,保密,英国,2025-04-05 07:06:21,4月回来考古,9
孙笑川逛B站,男,江苏,2025-04-05 02:52:18,任何时候都有人看系列[笑哭],19
Make载音,女,河南,2025-04-05 01:55:34,我勒个去 不会还有人吧？,10
ni左岸,男,广东,2025-04-04 23:52:12,真好啊，为了玩这个游戏花一万块配了台电脑[doge_金箍][doge_金箍],14
IAM-皓想次小酥饼,女,江西,2025-04-04 22:05:44,我的天呐，这恐怖的播放点赞投币收藏转发数量,3
夜雨づ清风,男,广东,2025-04-04 20:31:11,梦开始的地方  又回来了重温了,1
时刻保持质疑8,保密,辽宁,2025-04-04 18:06:19,令人感慨,2
永恒纪市,男,湖南,2025-04-04 11:22:24,再重温几遍,4
gl给我饿了么石榴,保密,安徽,2025-04-03 22:20:55,4.3  没人了吧[嗑瓜子],20
风起羽飞,保密,北京,2025-04-03 15:52:30,梦开始的地方,2
狐猴君,男,四川,2025-04-03 14:23:59,我还没通关，PS5玩到第三章，steam快到第三章关底了[笑哭]慢慢玩,6
徐辉先森,男,青海,2025-04-03 01:00:32,没钱只能买个268支持支持,9
吴东于衷,保密,湖南,2025-04-03 00:04:29,考古,1
